DAY,TIME,FLIGHT NUMBER,DESTINATION,AIRLINES,REMARK,Unnamed: 6,AIRLINE LOGO
2025-04-03,03/04,20:45,K6 8181,Ho Chi Minh (sgn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,20:50,EK 349,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-03,03/04,21:15,TG 5851,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-03,03/04,21:55,9C 7008,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-03,03/04,22:40,KR 961,Chengdu (tfu),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,22:55,KR 937,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-03,03/04,23:30,KE 6901,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-03,03/04,23:40,ZA 215,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-03,03/04,23:50,K6 610,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-03,03/04,23:55,OZ 7401,Seoul (icn),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
